loc_rowid,pl_name,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,sy_dist,sy_disterr1,sy_disterr2
1,11 Com b,Radial Velocity,2007,323.21000000,0.06000000,-0.05000000,0,1.178000,0.000000,0.000000,0,12.200,,,0,4914.89849,39.09289,-39.72855,0,0.238000,0.007000,-0.007000,0,,,,,,,,,4874.00,,,0,13.76,2.85,-2.45,0,2.09,0.64,-0.63,0,1.978,0.180,-0.159,0,93.1846000,1.9238000,-1.9238000
2,11 UMi b,Radial Velocity,2009,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,12.300,,,0,4684.81420,794.57500,-794.57500,0,0.080000,0.030000,-0.030000,0,,,,,,,,,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,2.430,0.008,-0.008,0,125.3210000,1.9765000,-1.9765000
3,14 And b,Radial Velocity,2008,186.76000000,0.11000000,-0.12000000,0,0.775000,0.000000,0.000000,0,13.100,,,0,1131.15130,36.23244,-38.77507,0,0.000000,,,0,,,,,,,,,4888.00,,,0,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,1.840,0.081,-0.050,0,75.4392000,0.7140000,-0.7140000
4,14 Her b,Radial Velocity,2002,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,12.600,,,0,2559.47216,518.69596,-280.64248,0,0.373000,0.008000,-0.006000,0,,,,,,,,,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.91,0.11,-0.11,0,-0.153,0.012,-0.010,0,17.9323000,0.0073000,-0.0073000
5,16 Cyg B b,Radial Velocity,1996,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,13.500,,,0,565.73740,25.42640,-25.42640,0,0.680000,0.020000,-0.020000,0,,,,,,,,,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.097,0.009,-0.013,0,21.1397000,0.0110000,-0.0111000
6,17 Sco b,Radial Velocity,2020,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,12.900,,,0,1373.01872,47.67426,-38.13941,0,0.060000,0.030000,-0.020000,0,,,,,,,,,4157.00,11.00,-10.00,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,2.254,0.026,-0.024,0,124.9530000,2.5900000,-2.5900000
7,18 Del b,Radial Velocity,2008,982.85000000,1.06000000,-0.92000000,0,2.476000,0.002000,-0.002000,0,12.500,,,0,2926.24614,50.85255,-24.47279,0,0.024000,0.007000,-0.018000,0,,,,,,,,,4980.00,,,0,8.80,0.61,-0.40,0,2.10,0.13,-0.09,0,1.634,0.061,-0.043,0,76.2220000,0.6217000,-0.6217000
8,1RXS J160929.1-210524 b,Imaging,2008,,,,,330.000000,,,0,18.647,,,0,3000.00000,300.00000,-300.00000,0,,,,,,,,,1700,100,-100,0,4060.00,300.00,-200.00,0,1.31,0.18,-0.10,0,0.85,0.20,-0.10,0,-0.370,0.150,-0.150,0,139.1350000,1.3320000,-1.3070000
9,24 Boo b,Radial Velocity,2018,30.33000000,0.00000000,-0.01000000,0,0.194000,0.000000,0.000000,0,13.900,,,0,280.64248,11.44182,-13.66662,0,0.032000,0.039000,-0.023000,0,,,,,,,,,4816.00,,,0,12.19,1.45,-1.28,0,1.05,0.27,-0.18,0,1.877,0.090,-0.095,0,95.9863000,0.6368500,-0.6368500
10,24 Sex b,Radial Velocity,2010,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,13.400,,,0,632.46000,82.63000,-120.77000,0,0.090000,0.140000,-0.060000,0,,,,,,,,,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,1.164,0.003,-0.003,0,72.0691000,0.6854000,-0.6728000
